State,Year,HS_or_higher_25-44,Bach_or_higher_25-44,MathG8Performance,MG8_at_or_above_prof,ReadingG80500,EGOV,LGOV,TGOV,REGION,,,
United States,2005,86.0,29.4,278,28,260,R,,,N,,,
Alabama,2005,84.3,23.5,262.0,15.0,252.0,S,,,SE,,,
Alaska,2005,86.2,24.0,279.0,29.0,259.0,,,,W,,,
Arizona,2005,84.4,25.2,274.0,26.0,255.0,,,,SW,,,
Arkansas,2005,85.5,20.5,272.0,22.0,258.0,,,,SE,,,
California,2005,78.3,29.3,269.0,22.0,250.0,,,,W,,,
Colorado,2005,90.4,37.3,281.0,32.0,265.0,,,,W,,,
Connecticut,2005,88.9,37.8,281.0,35.0,264.0,,,,NE,,,
Delaware,2005,88.8,30.5,281.0,30.0,266.0,,,,SE,,,
District of Columbia,2005,87.8,52.2,245.0,7.0,238.0,,,,SE,,,
Florida,2005,84.1,25.5,274.0,26.0,256.0,,,,SE,,,
Georgia,2005,88.2,30.6,272.0,23.0,257.0,,,,SE,,,
Hawaii,2005,86.9,26.8,266.0,18.0,249.0,,,,W,,,
Idaho,2005,87.5,24.0,281.0,30.0,264.0,,,,W,,,
Illinois,2005,89.0,33.8,278.0,29.0,264.0,,,,MW,,,
Indiana,2005,87.7,23.8,282.0,30.0,261.0,,,,MW,,,
Iowa,2005,94.8,29.4,284.0,34.0,267.0,,,,MW,,,
Kansas,2005,91.8,31.4,284.0,34.0,267.0,,,,MW,,,
Kentucky,2005,85.3,22.0,274.0,23.0,264.0,,,,SE,,,
Louisiana,2005,82.9,21.6,268.0,16.0,253.0,,,,SE,,,
Maine,2005,92.5,25.0,281.0,30.0,270.0,,,,NE,,,
Maryland,2005,86.9,36.2,278.0,30.0,261.0,,,,SE,,,
Massachusetts,2005,92.4,42.7,292.0,43.0,274.0,,,,NE,,,
Michigan,2005,90.7,28.0,277.0,29.0,261.0,,,,MW,,,
Minnesota,2005,94.5,35.9,290.0,43.0,268.0,,,,MW,,,
Mississippi,2005,83.8,19.7,262.0,14.0,251.0,,,,SE,,,
Missouri,2005,88.8,27.7,276.0,26.0,265.0,,,,MW,,,
Montana,2005,94.9,27.9,286.0,36.0,269.0,,,,W,,,
Nebraska,2005,91.5,32.4,284.0,35.0,267.0,,,,MW,,,
Nevada,2005,80.9,19.8,270.0,21.0,253.0,,,,W,,,
New Hampshire,2005,93.2,34.6,285.0,35.0,270.0,,,,NE,,,
New Jersey,2005,87.1,38.0,284.0,36.0,269.0,,,,NE,,,
New Mexico,2005,81.5,21.9,263.0,14.0,251.0,,,,SW,,,
New York,2005,87.2,35.8,280.0,31.0,265.0,,,,NE,,,
North Carolina,2005,86.1,28.0,282.0,32.0,258.0,,,,SE,,,
North Dakota,2005,98.8,30.8,287.0,35.0,270.0,,,,MW,,,
Ohio,2005,89.7,27.1,283.0,33.0,267.0,,,,MW,,,
Oklahoma,2005,86.5,23.4,271.0,21.0,260.0,,,,SW,,,
Oregon,2005,88.5,28.9,282.0,34.0,263.0,,,,W,,,
Pennsylvania,2005,89.3,30.1,281.0,31.0,267.0,,,,NE,,,
Rhode Island,2005,90.4,33.7,272.0,24.0,261.0,,,,NE,,,
South Carolina,2005,85.5,24.2,281.0,30.0,257.0,,,,SE,,,
South Dakota,2005,92.8,29.3,287.0,36.0,269.0,,,,MW,,,
Tennessee,2005,86.9,23.9,271.0,21.0,259.0,,,,SE,,,
Texas,2005,79.1,25.2,281.0,31.0,258.0,,,,SW,,,
Utah,2005,95.1,29.1,279.0,30.0,262.0,,,,W,,,
Vermont,2005,94.5,33.8,287.0,38.0,269.0,,,,NE,,,
Virginia,2005,86.6,34.9,284.0,33.0,268.0,,,,SE,,,
Washington,2005,89.8,31.2,285.0,36.0,265.0,,,,W,,,
West Virginia,2005,87.5,19.5,269.0,18.0,255.0,,,,SE,,,
Wisconsin,2005,91.5,28.8,285.0,36.0,266.0,,,,MW,,,
Wyoming,2005,90.9,23.0,282.0,29.0,268.0,,,,W,,,
Puerto Rico,2005,84.5,26.9,NA,NA,NA,,,,T,,,
United States,2006,87.7,29.6,NA,NA,NA,R,,,N,,,
Alabama,2006,84.4,22.6,NA,NA,NA,,,,SE,,,
Alaska,2006,93.9,26.4,NA,NA,NA,,,,W,,,
Arizona,2006,87.8,26.4,NA,NA,NA,,,,SW,,,
Arkansas,2006,86.3,20.7,NA,NA,NA,,,,SE,,,
California,2006,81.7,29.7,NA,NA,NA,,,,W,,,
Colorado,2006,90.8,36.4,NA,NA,NA,,,,W,,,
Connecticut,2006,92.9,37.4,NA,NA,NA,,,,NE,,,
Delaware,2006,89.7,31.8,NA,NA,NA,,,,SE,,,
District of Columbia,2006,89.5,55.7,NA,NA,NA,,,,SE,,,
Florida,2006,87.4,26.3,NA,NA,NA,,,,SE,,,
Georgia,2006,87.6,28.9,NA,NA,NA,,,,SE,,,
Hawaii,2006,93.8,30.2,NA,NA,NA,,,,W,,,
Idaho,2006,89.8,24.6,NA,NA,NA,,,,W,,,
Illinois,2006,89.7,33.8,NA,NA,NA,,,,MW,,,
Indiana,2006,89.1,24.7,NA,NA,NA,,,,MW,,,
Iowa,2006,92.5,29.4,NA,NA,NA,,,,MW,,,
Kansas,2006,91.2,32.0,NA,NA,NA,,,,MW,,,
Kentucky,2006,87.9,22.8,NA,NA,NA,,,,SE,,,
Louisiana,2006,83.0,21.7,NA,NA,NA,,,,SE,,,
Maine,2006,95.3,26.8,NA,NA,NA,,,,NE,,,
Maryland,2006,90.3,37.9,NA,NA,NA,,,,SE,,,
Massachusetts,2006,92.5,43.2,NA,NA,NA,,,,NE,,,
Michigan,2006,92.8,28.6,NA,NA,NA,,,,MW,,,
Minnesota,2006,94.3,35.5,NA,NA,NA,,,,MW,,,
Mississippi,2006,83.6,20.7,NA,NA,NA,,,,SE,,,
Missouri,2006,90.0,28.2,NA,NA,NA,,,,MW,,,
Montana,2006,93.6,29.9,NA,NA,NA,,,,W,,,
Nebraska,2006,91.9,31.8,NA,NA,NA,,,,MW,,,
Nevada,2006,83.6,20.3,NA,NA,NA,,,,W,,,
New Hampshire,2006,96.6,34.9,NA,NA,NA,,,,NE,,,
New Jersey,2006,90.8,38.4,NA,NA,NA,,,,NE,,,
New Mexico,2006,85.1,22.9,NA,NA,NA,,,,SW,,,
New York,2006,87.7,35.7,NA,NA,NA,,,,NE,,,
North Carolina,2006,85.6,27.4,NA,NA,NA,,,,SE,,,
North Dakota,2006,94.5,31.5,NA,NA,NA,,,,MW,,,
Ohio,2006,91.0,27.0,NA,NA,NA,,,,MW,,,
Oklahoma,2006,87.4,23.1,NA,NA,NA,,,,SW,,,
Oregon,2006,89.8,29.3,NA,NA,NA,,,,W,,,
Pennsylvania,2006,90.6,30.4,NA,NA,NA,,,,NE,,,
Rhode Island,2006,88.9,34.8,NA,NA,NA,,,,NE,,,
South Carolina,2006,85.3,23.4,NA,NA,NA,,,,SE,,,
South Dakota,2006,93.2,29.5,NA,NA,NA,,,,MW,,,
Tennessee,2006,87.1,24.0,NA,NA,NA,,,,SE,,,
Texas,2006,81.7,25.4,NA,NA,NA,,,,SW,,,
